INFO  [2023-12-31 01:27:17,756] GoogleSheetParser: Started getting spreadsheet[id=1y5PpIKd2fJdDN4d44vTm90nJBI4fB__GDcwUneRpS_I] data...
INFO  [2023-12-31 01:27:29,779] GoogleSheetParser: Successfully get all spreadsheet[id=1y5PpIKd2fJdDN4d44vTm90nJBI4fB__GDcwUneRpS_I] data.
INFO  [2023-12-31 01:28:01,416] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 01:28:02,063] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 01:28:02,066] ScheduleService: Successfully get spreadsheet `workers data from spreadsheet.
INFO  [2023-12-31 01:28:02,067] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 01:28:02,474] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 01:28:02,475] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 01:28:02,872] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 01:28:02,875] ScheduleService: Successfully get spreadsheet `schedule` data from spreadsheet.
INFO  [2023-12-31 01:28:02,878] ScheduleService: Stated parsing spreadsheet schedule data with month: 'DECEMBER'.
INFO  [2023-12-31 01:28:02,890] ScheduleService: Successfully sent 217 schedule items in 1470ms.
INFO  [2023-12-31 02:46:35,795] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:46:36,653] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 02:46:36,656] ScheduleService: Successfully get spreadsheet `workers data from spreadsheet.
INFO  [2023-12-31 02:46:36,657] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:46:37,110] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 02:46:37,111] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:46:37,937] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 02:46:37,938] ScheduleService: Successfully get spreadsheet `schedule` data from spreadsheet.
INFO  [2023-12-31 02:46:37,941] ScheduleService: Stated parsing spreadsheet schedule data with month: 'DECEMBER'.
INFO  [2023-12-31 02:46:37,949] ScheduleService: Successfully sent 217 schedule items in 2259ms.
INFO  [2023-12-31 02:46:38,007] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:46:38,357] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
